Year,Region,Country,Amount
2010,AMS,Brazil,0.0
2010,AMS,United States,4000.0
2010,APJ,China,0.0
2010,EMEA,Germany,0.0
2010,EMEA,Italy,0.0
2010,EMEA,United Kingdom,0.0
2011,AMS,Brazil,0.0
2011,AMS,Chile,0.0
2011,AMS,United States,0.0
2011,EMEA,France,0.0
2011,EMEA,Germany,0.0
2011,EMEA,Italy,0.0
2011,EMEA,Poland,0.0
2011,EMEA,United Kingdom,0.0
2012,AMS,Brazil,0.0
2012,AMS,Colombia,0.0
2012,AMS,Peru,0.0
2012,AMS,United States,0.0
2012,APJ,Australia,0.0
2012,EMEA,Denmark,0.0
2012,EMEA,Germany,0.0
2012,EMEA,Netherlands,0.0
2012,EMEA,Russia,0.0
2013,AMS,Brazil,0.0
2013,AMS,Canada,0.0
2013,AMS,United States,0.0
2013,EMEA,Germany,0.0
2013,EMEA,Norway,0.0
2013,EMEA,United Arab Emirates,0.0
2014,AMS,Brazil,14400.0
2014,AMS,Canada,0.0
2014,AMS,Chile,0.0
2014,AMS,Mexico,0.0
2014,AMS,United States,292500.0
2014,APJ,Australia,0.0
2014,APJ,China,0.0
2014,APJ,India,0.0
2014,APJ,Japan,1090352.04
2014,EMEA,Belgium,0.0
2014,EMEA,Bermuda,0.0
2014,EMEA,Czech Republic,0.0
2014,EMEA,Denmark,0.0
2014,EMEA,France,0.0
2014,EMEA,Germany,0.0
2014,EMEA,Hungary,0.0
2014,EMEA,Iceland,0.0
2014,EMEA,Israel,0.0
2014,EMEA,Morocco,0.0
2014,EMEA,Netherlands,0.0
2014,EMEA,Norway,0.0
2014,EMEA,Russia,0.0
2014,EMEA,Sweden,0.0
2014,EMEA,Switzerland,0.0
2014,EMEA,United Kingdom,0.0
2015,AMS,Brazil,0.0
2015,AMS,Canada,0.0
2015,AMS,United States,326250.0
2015,APJ,Australia,0.0
2015,APJ,Japan,1594126.46
2015,APJ,Malaysia,0.0
2015,APJ,New Zealand,0.0
2015,EMEA,Finland,0.0
2015,EMEA,Germany,5095662.0
2015,EMEA,Netherlands,0.0
2015,EMEA,Norway,0.0
2015,EMEA,Poland,0.0
2015,EMEA,Russia,0.0
2015,EMEA,South Africa,0.0
2015,EMEA,Sweden,0.0
2016,AMS,Brazil,14400.0
2016,AMS,Canada,0.0
2016,AMS,Mexico,0.0
2016,AMS,United States,867000.0
2016,APJ,Australia,0.0
2016,APJ,China,0.0
2016,APJ,India,0.0
2016,APJ,Japan,1687665.61
2016,APJ,Malaysia,0.0
2016,APJ,New Zealand,0.0
2016,EMEA,Belgium,81440.0
2016,EMEA,Croatia,12000.0
2016,EMEA,Czech Republic,49440.0
2016,EMEA,Denmark,0.0
2016,EMEA,Finland,13100.0
2016,EMEA,France,232652.66999999998
2016,EMEA,Ireland,33600.0
2016,EMEA,Israel,0.0
2016,EMEA,Italy,36982.67
2016,EMEA,Netherlands,23934.66
2016,EMEA,Norway,4301.4
2016,EMEA,Russia,35824.93
2016,EMEA,South Africa,24097.55
2016,EMEA,Sweden,138900.0
2016,EMEA,Switzerland,0.0
2016,EMEA,Turkey,39000.0
2016,EMEA,United Kingdom,448689.78
2017,AMS,Brazil,14400.0
2017,AMS,Canada,196600.5
2017,AMS,Chile,22800.0
2017,AMS,Peru,28000.0
2017,AMS,United States,4095757.5300000003
2017,APJ,Australia,130687.0
2017,APJ,India,34600.0
2017,APJ,Indonesia,0.0
2017,APJ,Japan,1999714.19
2017,APJ,Malaysia,22000.0
2017,APJ,Thailand,16800.0
2017,EMEA,Belgium,136040.0
2017,EMEA,Bermuda,5761.0
2017,EMEA,Cyprus,2800.0
2017,EMEA,Denmark,135740.0
2017,EMEA,Finland,27518.4
2017,EMEA,France,255816.06
